variant,lead,n_fit,n_eval,lgbm_brier,equal_pool_brier,comp_brier_4a,comp_brier_3e,comp_brier_3c
A,24,5332,3556,0.07107887261730474,0.06918209999361248,0.0725820130083925,0.06991582277693965,
B,24,5332,3556,0.07227822977437252,0.06932238648275858,0.0725820130083925,0.06991582277693965,0.07181461069486698
A,48,5332,3556,0.07986913997185531,0.07668809904141256,0.07935256701255101,0.07810318944362528,
B,48,5332,3556,0.07929681281848396,0.07659079638255033,0.07935256701255101,0.07810318944362528,0.07858022127610245
A,72,5332,3556,0.08391982850913013,0.08242295194944065,0.08378719812111463,0.08464403220825424,
B,72,5332,3556,0.09156353508245758,0.08359262721042125,0.08378719812111463,0.08464403220825424,0.08848470078934385
A,96,5327,3552,0.10059605064202647,0.0899507518428166,0.09097845352358577,0.0931984960789056,
B,96,5327,3552,0.10459691585778953,0.09095609621980402,0.09097845352358577,0.0931984960789056,0.09593049328706788
A,120,5322,3548,0.11084782210455404,0.09602227596008259,0.09798947190005107,0.09862392593567494,
B,120,5322,3548,0.12564272528639944,0.09637040034808105,0.09798947190005107,0.09862392593567494,0.10199242528732523
