phase,station,window,lead,n,brier_raw,brier_pav,delta_pav_minus_raw,brier_5b,n_5b
3g,bellever_dartmoor,3,24,120,0.11269031016666667,0.10758323768813745,-0.00510707247852922,0.11401018041206307,123
3g,bellever_dartmoor,3,48,120,0.11899992725,0.11646055372744926,-0.0025393735225507363,0.10789108177071674,123
3g,bellever_dartmoor,3,72,120,0.13906030808333333,0.13177017443067643,-0.007290133652656905,0.11046251904001636,123
3g,bellever_dartmoor,4,24,120,0.119534671,0.12412826226028649,0.004593591260286495,0.1298957073805833,123
3g,bellever_dartmoor,4,48,120,0.12117457783333332,0.1190734501540715,-0.0021011276792618216,0.1285754195159387,123
3g,bellever_dartmoor,4,72,120,0.16400335216666664,0.1667133462298564,0.0027099940631897523,0.1517678862293708,123
3g,bellever_dartmoor,6,24,120,0.11092659499999999,0.1127795310917611,0.001852936091761112,0.12329894280883939,123
3g,bellever_dartmoor,6,48,120,0.11096466591666668,0.10638313597408121,-0.004581529942585469,0.13577936693645054,123
3g,bellever_dartmoor,6,72,120,0.13108268375,0.14041306209671542,0.009330378346715407,0.13981451500985473,123
3g,bovey_tracey,3,24,116,0.0644519225862069,0.057720381489687674,-0.006731541096519224,0.06292773880675759,119
3g,bovey_tracey,3,48,116,0.07302428749999999,0.0693496258266039,-0.0036746616733960985,0.06282156807077002,119
3g,bovey_tracey,3,72,116,0.07699020551724138,0.08484347927134739,0.007853273754106008,0.0756453930674308,119
3g,bovey_tracey,4,24,116,0.1033675952586207,0.10354307530271577,0.00017548004409506657,0.08328076066278822,119
3g,bovey_tracey,4,48,116,0.11667831629310342,0.10372906637621776,-0.01294924991688566,0.09463487604205272,119
3g,bovey_tracey,4,72,116,0.11995857862068969,0.10919748578755369,-0.010761092833136005,0.10659874997233652,119
3g,bovey_tracey,6,24,116,0.10017944948275861,0.09822148642709712,-0.0019579630556614963,0.09930323456043455,119
3g,bovey_tracey,6,48,116,0.1123923847413793,0.1151425538699303,0.002750169128551,0.12261417862937084,119
3g,bovey_tracey,6,72,116,0.13271322939655172,0.1369378447392485,0.004224615342696775,0.13844858428181914,119
3g,dartmoor_nr_hexworthy,3,24,120,0.12782002358333333,0.1295891152210698,0.0017690916377364752,0.12728327786484334,124
3g,dartmoor_nr_hexworthy,3,48,120,0.14783662533333333,0.15418494812645178,0.006348322793118449,0.14028973454907792,124
3g,dartmoor_nr_hexworthy,3,72,120,0.1579505125,0.1641049592589736,0.006154446758973586,0.14315092163625037,124
3g,dartmoor_nr_hexworthy,4,24,120,0.12376484424999999,0.13195998461503614,0.008195140365036144,0.14475691004685365,124
3g,dartmoor_nr_hexworthy,4,48,120,0.15089898625,0.16224693218455608,0.01134794593455607,0.16943024031515347,124
3g,dartmoor_nr_hexworthy,4,72,120,0.1670388779166667,0.18650615467724826,0.019467276760581576,0.17455245640160216,124
3g,dartmoor_nr_hexworthy,6,24,120,0.16131499900000001,0.20912363353532104,0.047808634535321026,0.14824688877987333,124
3g,dartmoor_nr_hexworthy,6,48,120,0.1630367965,0.19239899495889207,0.02936219845889207,0.16383931551290237,124
3g,dartmoor_nr_hexworthy,6,72,120,0.18476853925,0.2354636442383594,0.050695104988359385,0.18662628889930416,124
3j,bellever_dartmoor,3,24,120,0.1063773031875,0.1059361274984181,-0.00044117568908189075,0.11401018041206307,123
3j,bellever_dartmoor,3,48,120,0.11486423416666666,0.1124210176701034,-0.002443216496563261,0.10789108177071674,123
3j,bellever_dartmoor,3,72,120,0.13209856581249999,0.13058821198183118,-0.0015103538306688036,0.11046251904001636,123
