phase,station,window,lead,n_val,obs_rate,n_blocks,min_block,median_block,val_brier_raw,val_brier_pav,val_delta,brier_raw,brier_pav,delta_pav_minus_raw,pav_helps,pav_hurts
3g,bellever_dartmoor,3,24,124,0.717741935483871,7,6,12,0.10340042112903225,0.08444220430107528,-0.018958216827956967,0.1126903101666666,0.1075832376881374,-0.0051070724785292,True,False
3j,bellever_dartmoor,3,24,124,0.717741935483871,8,3,10,0.09834745895161294,0.08448191593352884,-0.013865543018084098,0.1063773031875,0.1059361274984181,-0.0004411756890818,False,False
3n,bellever_dartmoor,3,24,124,0.717741935483871,7,8,12,0.09933194354838709,0.08380376344086023,-0.015528180107526865,0.1082279129374999,0.1054414622926443,-0.0027864506448556,True,False
3g,bellever_dartmoor,4,24,124,0.6290322580645161,6,8,14,0.09479326177419355,0.07652126099706745,-0.018272000777126096,0.119534671,0.1241282622602864,0.0045935912602864,False,True
3j,bellever_dartmoor,4,24,124,0.6290322580645161,9,3,7,0.1023185904032258,0.07928827444956478,-0.02303031595366102,0.1242537735208333,0.1197266965387418,-0.0045270769820914,True,False
3n,bellever_dartmoor,4,24,124,0.6290322580645161,8,2,9,0.10250250580645162,0.07815598380114509,-0.02434652200530653,0.1247151006041666,0.1204030052834337,-0.0043120953207328,True,False
3g,bellever_dartmoor,6,24,124,0.5,7,6,14,0.09773969959677418,0.08427080509623204,-0.013468894500542145,0.1109265949999999,0.1127795310917611,0.0018529360917611,False,True
3j,bellever_dartmoor,6,24,124,0.5,7,5,12,0.1028088425,0.0852457083569138,-0.017563134143086204,0.1250802913958333,0.1135102983282307,-0.0115699930676025,True,False
3n,bellever_dartmoor,6,24,124,0.5,7,5,12,0.09980399677419353,0.08502169401999625,-0.014782302754197285,0.1214729497291666,0.1103027452278909,-0.0111702045012756,True,False
3g,bovey_tracey,3,24,120,0.85,5,6,12,0.07054404341666666,0.05463643790849673,-0.015907605508169928,0.0644519225862069,0.0577203814896876,-0.0067315410965192,True,False
3j,bovey_tracey,3,24,120,0.85,6,5,7,0.06502078341666667,0.05523809523809523,-0.00978268817857144,0.0586966983836206,0.0597041898179402,0.0010074914343195,False,True
3n,bovey_tracey,3,24,120,0.85,5,6,13,0.06525867916666667,0.05183150183150184,-0.013427177335164825,0.0587294863146551,0.0577949864152329,-0.0009344998994222,True,False
3g,bovey_tracey,4,24,120,0.775,6,2,14,0.06842092983333334,0.05581289483463396,-0.012608034998699377,0.1033675952586207,0.1035430753027157,0.000175480044095,False,False
3j,bovey_tracey,4,24,120,0.775,6,2,13,0.06962979166666665,0.055416666666666656,-0.014213124999999993,0.0912748520474137,0.0989022800985158,0.0076274280511021,False,True
3n,bovey_tracey,4,24,120,0.775,6,2,13,0.06979464408333333,0.055555555555555566,-0.014239088527777763,0.092664147650862,0.100316314780832,0.0076521671299699,False,True
3g,bovey_tracey,6,24,120,0.65,7,3,18,0.08296759008333333,0.07024410774410775,-0.012723482339225586,0.1001794494827586,0.0982214864270971,-0.0019579630556614,True,False
3j,bovey_tracey,6,24,120,0.65,7,3,11,0.08724770416666665,0.06751240474924686,-0.01973529941741979,0.1138007129094827,0.0991816285106413,-0.0146190843988413,True,False
3n,bovey_tracey,6,24,120,0.65,7,3,10,0.08537170975,0.06722831384015594,-0.018143395909844054,0.1107443962931034,0.0984820803142126,-0.0122623159788907,True,False
3g,dartmoor_nr_hexworthy,3,24,125,0.696,5,11,18,0.10728563856,0.08372397660818715,-0.02356166195181285,0.1278200235833333,0.1295891152210698,0.0017690916377364,False,True
3j,dartmoor_nr_hexworthy,3,24,125,0.696,5,11,17,0.1067769976,0.08372773109243699,-0.023049266507563018,0.119400667625,0.1267077421466028,0.0073070745216027,False,True
3n,dartmoor_nr_hexworthy,3,24,125,0.696,5,11,17,0.1074310796,0.08372773109243699,-0.02370334850756302,0.1204059952083333,0.1275622427281798,0.0071562475198465,False,True
3g,dartmoor_nr_hexworthy,4,24,125,0.608,9,2,13,0.12119519192,0.09290629370629368,-0.028288898213706323,0.1237648442499999,0.1319599846150361,0.0081951403650361,False,True
3j,dartmoor_nr_hexworthy,4,24,125,0.608,8,6,15,0.115644194,0.09046782106782107,-0.025176372932178934,0.1242541394166666,0.1312164515807622,0.0069623121640956,False,True
3n,dartmoor_nr_hexworthy,4,24,125,0.608,8,6,15,0.11638998095999997,0.09056973677663334,-0.025820244183366634,0.1248035013125,0.1336771842916245,0.0088736829791245,False,True
3g,dartmoor_nr_hexworthy,6,24,125,0.456,8,5,15,0.15128902400000002,0.09413333333333329,-0.05715569066666673,0.161314999,0.209123633535321,0.047808634535321,False,True
3j,dartmoor_nr_hexworthy,6,24,125,0.456,8,5,15,0.12173765104,0.0952433497536946,-0.026494301286305408,0.1657831269791666,0.2059900674136595,0.0402069404344928,False,True
3n,dartmoor_nr_hexworthy,6,24,125,0.456,8,5,15,0.12078198127999998,0.09553015873015874,-0.025251822549841235,0.1636988968541667,0.2048017139489508,0.0411028170947841,False,True
3g,bellever_dartmoor,3,48,124,0.717741935483871,8,6,9,0.12754049887096774,0.10412581699346406,-0.023414681877503687,0.11899992725,0.1164605537274492,-0.0025393735225507,True,False
3j,bellever_dartmoor,3,48,124,0.717741935483871,10,3,8,0.12051053661290322,0.10261514918772983,-0.01789538742517338,0.1148642341666666,0.1124210176701034,-0.0024432164965632,True,False
3n,bellever_dartmoor,3,48,124,0.717741935483871,9,2,11,0.12204838669354837,0.10192361402038821,-0.02012477267316015,0.1165028797291666,0.1139867582154264,-0.0025161215137401,True,False
3g,bellever_dartmoor,4,48,124,0.6290322580645161,8,6,10,0.1261346558064516,0.10293458781362007,-0.023200067992831544,0.1211745778333333,0.1190734501540715,-0.0021011276792618,True,False
3j,bellever_dartmoor,4,48,124,0.6290322580645161,6,6,19,0.13106897927419353,0.10045274476513866,-0.030616234509054874,0.1334826848958333,0.1211017094038678,-0.0123809754919654,True,False
3n,bellever_dartmoor,4,48,124,0.6290322580645161,7,7,16,0.13123735016129032,0.10152649769585255,-0.029710852465437768,0.1328945494375,0.1231952825314755,-0.0096992669060244,True,False
