station,lead,n_fit,n_eval,equal_brier,linear_brier,logit_brier,brier_3c,brier_3e,brier_4a,linear_w_3c,linear_w_3e,linear_w_4a,logit_w_3c,logit_w_3e,logit_w_4a
ea_bellever_dartmoor,24,1798,1199,0.07245681225108097,0.07465288706086223,0.07493883805357837,0.07695919580327978,0.07290648236731213,0.07647470607485608,0.75,0.0,0.25,0.75,0.0,0.25
ea_bellever_dartmoor,48,1798,1199,0.0810660839792027,0.08104456051539043,0.08137234417221172,0.08283572881384686,0.08297338493933355,0.08644790761307944,0.4,0.3,0.3,0.4,0.35,0.25
ea_bellever_dartmoor,72,1798,1199,0.09052307510550936,0.09237316611903373,0.09289881587613592,0.09822589673561166,0.09126730189795842,0.09153036678970364,0.5,0.35,0.15,0.5,0.35,0.15
ea_bellever_dartmoor,96,1796,1198,0.10127116636334957,0.10440138033258253,0.10464742027114306,0.1086444054285841,0.1058294654720028,0.1007394911186512,0.35,0.6,0.05,0.3,0.65,0.05
ea_bellever_dartmoor,120,1794,1197,0.10887973669005245,0.11246585896536179,0.11258822513258211,0.11460416488580179,0.11444619984143488,0.11295389021071361,0.15,0.8,0.05,0.1,0.85,0.05
ea_bovey_tracey,24,1734,1157,0.034710230714419345,0.035196125633905936,0.03531955139685751,0.03562462082054334,0.034426603759018994,0.03757734305434705,0.85,0.15,0.0,0.9,0.1,0.0
ea_bovey_tracey,48,1734,1157,0.04083497501920571,0.04151437900068204,0.04195577175008445,0.04238728723034018,0.041820626809598985,0.04168179081448968,0.65,0.25,0.1,0.75,0.25,0.0
ea_bovey_tracey,72,1734,1157,0.045597741501360305,0.04610305607610155,0.04645460418106165,0.047267862530977554,0.04630810118807538,0.04578405313256384,0.55,0.3,0.15,0.65,0.25,0.1
ea_bovey_tracey,96,1732,1156,0.04916309581801719,0.04987856359273963,0.05014445328815918,0.05037711010325669,0.050427699643830294,0.0494469210082588,0.45,0.5,0.05,0.45,0.55,0.0
ea_bovey_tracey,120,1731,1154,0.051703654571178655,0.05250467266597418,0.052581883539185345,0.05150142989054156,0.053860461978115295,0.05335726668418086,0.15,0.65,0.2,0.15,0.7,0.15
ea_dartmoor_nr_hexworthy,24,1800,1200,0.0986598422080209,0.0991375473680013,0.09958714587586485,0.1003618329893292,0.10039084007600682,0.1022804843117587,0.65,0.2,0.15,0.6,0.25,0.15
ea_dartmoor_nr_hexworthy,48,1800,1200,0.10587934160941624,0.10620779656379073,0.10684359082715765,0.10857657076750044,0.10749644860707264,0.10791490411880884,0.45,0.35,0.2,0.45,0.4,0.15
ea_dartmoor_nr_hexworthy,72,1800,1200,0.11264580761075477,0.11405876404579732,0.11467153395288401,0.11769191932248328,0.11404846578503922,0.11260037396365197,0.55,0.25,0.2,0.55,0.25,0.2
ea_dartmoor_nr_hexworthy,96,1798,1199,0.12205422711687196,0.12289442128834971,0.12327217093879783,0.12785026940812544,0.12247145071969576,0.12379571993276337,0.4,0.5,0.1,0.35,0.55,0.1
ea_dartmoor_nr_hexworthy,120,1796,1198,0.12969815718000746,0.12786812376743803,0.12786812376743803,0.14143292522441633,0.12786812376743803,0.12978364050423635,0.0,1.0,0.0,0.0,1.0,0.0
